iter	MAE	RMSE
576	0.1866213158	0.295145197
577	0.1863900662	0.2947378717
578	0.1862308102	0.2944038934
579	0.1860023494	0.2938686818
580	0.185648682	0.2934867494
581	0.185450461	0.2930936814
582	0.18523989	0.2927439129
583	0.1850704576	0.2922978111
584	0.184919696	0.2919726992
585	0.1844987951	0.2913706592
586	0.1843868154	0.2911299862
587	0.1841837431	0.2906180229
588	0.1840431654	0.2902083292
589	0.1837460021	0.2898270018
590	0.1836424203	0.2895568814
591	0.1832658819	0.2891360769
592	0.1831307755	0.288820238
593	0.1828860503	0.2883507737
594	0.1826868524	0.2879847543
595	0.1822779101	0.2875541465
596	0.1821042258	0.2871206091
597	0.1819236691	0.2866006867
598	0.1817625578	0.2861392743
599	0.1814297769	0.2857850597
600	0.1809422005	0.2852845861
601	0.1807461677	0.2850112085
602	0.1806054201	0.2847134017
603	0.1803316332	0.2844036205
604	0.1801685009	0.2840742529
605	0.1800493605	0.2837939025
606	0.1798706048	0.2833324756
607	0.1796720918	0.2828824532
608	0.1795765742	0.2826701138
609	0.1793866478	0.2823191184
610	0.1791714731	0.2818259797
611	0.1789791802	0.2813888871
612	0.1786158717	0.2809420932
613	0.1782925403	0.2806041194
614	0.1780648013	0.2801950499
615	0.1777452693	0.2798285924
616	0.1775535089	0.2794265582
617	0.1774405886	0.2790866147
618	0.1772959818	0.2787599853
619	0.1770468217	0.2784795516
620	0.1767635241	0.278143526
621	0.1766769464	0.277959206
622	0.1765641661	0.2777237978
623	0.1762707602	0.2773560096
624	0.1759096211	0.2769246052
625	0.1756888727	0.276544673
626	0.1754248974	0.2761470556
627	0.1753566201	0.2759390733
628	0.1753377322	0.2759130464
629	0.1750253068	0.2756344849
630	0.1749250412	0.2752905973
631	0.1747293247	0.2749538611
632	0.174495811	0.2746108917
633	0.1743104878	0.2742274739
634	0.1740753271	0.2738970135
635	0.1738095382	0.2735695182
636	0.1735755054	0.2730596811
637	0.1734754923	0.2728484418
638	0.1734355038	0.2726564752
639	0.173186487	0.2724191795
640	0.1731332184	0.2723077622
641	0.1729470125	0.2718934283
642	0.1726125344	0.2714567856
643	0.1724176945	0.2710452185
644	0.1723253482	0.2707204313
645	0.1720674639	0.2703440743
646	0.1718577539	0.2699324573
647	0.1717188635	0.269678741
648	0.1715630038	0.2693488428
649	0.171488298	0.2691619786
650	0.1714389532	0.2690549569
651	0.1712878592	0.2687283699
652	0.1712137239	0.268517108
653	0.1709709681	0.2679362962
654	0.1706929883	0.2674960529
655	0.1704462873	0.2669367183
656	0.1701532052	0.2665108715
657	0.1699067519	0.2661780485
658	0.1698386415	0.2659644546
659	0.1695672877	0.2656446032
660	0.1692863633	0.2652968769
661	0.1691979852	0.2649977248
662	0.1689998858	0.2645345863
663	0.168863141	0.2642355019
664	0.1687259487	0.2639616482
665	0.1683834159	0.2635180197
666	0.1681799352	0.2631013757
667	0.1680974118	0.2628222152
668	0.1679724518	0.2625673093
669	0.1676018662	0.2622148714
670	0.1674151527	0.2618967431
671	0.1671345816	0.2614351604
672	0.1669366254	0.2610946607
673	0.166746354	0.2607613861
674	0.1666133203	0.2604265578
675	0.1664120694	0.2600212488
676	0.1661314503	0.2597111906
677	0.1660690902	0.2594881779
678	0.1658644384	0.2590106403
679	0.1657181178	0.258676056
680	0.1655319736	0.2582932167
681	0.1653421388	0.2579258297
682	0.1650349074	0.2576854309
683	0.1648638924	0.2573341585
684	0.1646380007	0.2569784517
685	0.1644550607	0.2565465746
686	0.1643573449	0.2563671904
687	0.1642425411	0.2560698226
688	0.1640005143	0.2555465219
689	0.1638479155	0.2552634412
690	0.1637310558	0.2549323312
691	0.1637311081	0.2549323302
692	0.1635488047	0.2546039482
693	0.1633361283	0.2542113202
694	0.1630817213	0.253986196
695	0.1628174554	0.2535513317
696	0.1626086266	0.2532557083
697	0.1624095167	0.2528147972
698	0.1622246351	0.2524333454
699	0.1621703906	0.2523191605
700	0.162114695	0.2521938023
701	0.1619115782	0.2519132437
702	0.1617363003	0.2516704163
703	0.1614978374	0.2512003709
704	0.1613506955	0.2508895736
705	0.1612052447	0.2506216416
706	0.1610484263	0.2503280014
707	0.1609927835	0.2502310792
708	0.1609415217	0.2501112126
709	0.1607666133	0.2497323235
710	0.1606396562	0.2494147936
711	0.1605001547	0.2490878484
712	0.1603717051	0.248844597
